run,cluster,domain,account,date,link,url,fragment,uid,likes,keyword,case_name,flag,text,source_file
2026-09-05_13-23-41,qsh-alpha,12beststar.com,jingcaifung,2025-10-13,https://www.threads.com/@jingcaifung/post/DPuwIYWk4qF,https://www.12beststar.com/doc_NlRaU2VsQitsekI0QWlwVHBzVkZPQT09,,,0.0,12beststar.com,['qsh-alpha'],1,楊宗緯舞台驚魂瞬間！細節曝光：歌迷回憶摔落一刻，心臟瞬間漏跳 12beststar.com/doc_N… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,12beststar.com,cc.feng123,2025-08-28,https://www.threads.com/@cc.feng123/post/DN5uYCXgaxb,https://www.12beststar.com/doc_VmExK2tMTk1ndHp0a0x2LzVtczVUQT09,threads2051,,1300.0,12beststar.com,['qsh-alpha'],1,早期是台灣山老鼠雇用越南逃逸勞工幫忙上山砍，並帶著他們交貨盤商，久了越南外勞熟門熟路，所以一個拉一個，以相對低廉的價格，成了台灣最大山老鼠。 而更令人難過的是，他們只砍高價值的檜木瘤花部位（樹瘤、閃花），基本都在頭部，砍完有瘤花部位後上面的樹幹任其枯死！ 他們在現場搭營，鋸出一塊一塊體積不大的「黃金磚」，方便搬運下山且,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,jza00060,2025-03-24,https://www.threads.com/@jza00060/post/DHlzXecJi9j,https://cartoontalking.com/d/468ECEFD,threads744,,0.0,cartoontalking.com,['qsh-alpha'],1,Wondering about your next step? Let tarot show you the way. Start your free reading today! Tarot cartoontalking.com/d/468…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,win34922024,2025-03-24,https://www.threads.com/@win34922024/post/DHlREpjJBr6,https://cartoontalking.com/d/2345BAA2,threads1264,,0.0,cartoontalking.com,['qsh-alpha'],1,Curious about what’s next? Unlock your future with a tarot reading today! Tarot cartoontalking.com/d/234…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,jza00060,2025-03-24,https://www.threads.com/@jza00060/post/DHlRCNapLze,https://cartoontalking.com/d/9D0C547B,threads744,,0.0,cartoontalking.com,['qsh-alpha'],1,Find the answers you seek—let the tarot reveal your destiny. Get your free reading now! Tarot cartoontalking.com/d/9D0…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,yuehpaichen,2025-03-21,https://www.threads.com/@yuehpaichen/post/DHdabYLJdfU,https://cartoontalking.com/d/8DE35C9E,threads4195,,0.0,cartoontalking.com,['qsh-alpha'],1,Wondering about your next step? Let tarot show you the way. Start your free reading today! Tarot cartoontalking.com/d/8DE…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,lkv07771,2025-03-21,https://www.threads.com/@lkv07771/post/DHdaH14JeAj,https://cartoontalking.com/d/468ECEFD,threads4191,,0.0,cartoontalking.com,['qsh-alpha'],1,Wondering about your next step? Let tarot show you the way. Start your free reading today! Tarot cartoontalking.com/d/468…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,vvr23684,2025-03-21,https://www.threads.com/@vvr23684/post/DHdaC7tpv4c,https://cartoontalking.com/d/BFADBA25,threads4179,,0.0,cartoontalking.com,['qsh-alpha'],1,Trust the cards to guide you—get your free tarot reading now and uncover your future. Tarot cartoontalking.com/d/BFA…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,urx90127,2025-03-21,https://www.threads.com/@urx90127/post/DHdaBbjJvTN,https://cartoontalking.com/d/E86A4FE2,threads4223,,0.0,cartoontalking.com,['qsh-alpha'],1,Unsure about your next step in life or love? The Tarot holds the answers you need. 🌟 DM me for a personalized reading. Tarot cartoontalking.com/d/E86…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,zqz41186,2025-03-21,https://www.threads.com/@zqz41186/post/DHdZ5KxpZ1G,https://cartoontalking.com/d/A8758B81,threads4175,,0.0,cartoontalking.com,['qsh-alpha'],1,Wondering about your next step? Let tarot show you the way. Start your free reading today! Tarot cartoontalking.com/d/A87…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,vvr23684,2025-03-21,https://www.threads.com/@vvr23684/post/DHdYrDPJT6n,https://cartoontalking.com/d/7FE4603D,threads4179,,0.0,cartoontalking.com,['qsh-alpha'],1,Discover more free tarot readings at Tarot cartoontalking.com/d/7FE…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,zqz41186,2025-03-21,https://www.threads.com/@zqz41186/post/DHdYhU9JGOJ,https://cartoontalking.com/d/0A86E48A,threads4175,,0.0,cartoontalking.com,['qsh-alpha'],1,"Your path awaits! Discover insights into love, career, and destiny with a free tarot reading. Tarot cartoontalking.com/d/0A8…  2 / 2",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,gld50844,2025-03-21,https://www.threads.com/@gld50844/post/DHdYe4npMtO,https://cartoontalking.com/d/C5914173,threads4219,,0.0,cartoontalking.com,['qsh-alpha'],1,Looking for answers to your emotional questions? Tarot could be the answer you’ve been searching for. Let’s see what the cards have to say. 🌙 Tarot cartoontalki,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,lkv07771,2025-03-21,https://www.threads.com/@lkv07771/post/DHdYZ9spEKe,https://cartoontalking.com/d/9631E023,threads4191,,0.0,cartoontalking.com,['qsh-alpha'],1,Discover more free tarot readings at Tarot cartoontalking.com/d/963…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-16,https://www.threads.com/@shaoqianglee/post/DGIL1Epprhd,https://cartoontalking.com/d/4E904B64,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/4E9…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-15,https://www.threads.com/@shaoqianglee/post/DGG5a9nJQxm,https://cartoontalking.com/d/1BC18D1E,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️Tarot cartoontalking.com/d/1BC…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-15,https://www.threads.com/@shaoqianglee/post/DGGk0yZJdSj,https://cartoontalking.com/d/03256A65,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your Tarot reading here cartoontalking.com/d/032… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-15,https://www.threads.com/@shaoqianglee/post/DGGQOUYpPRs,https://cartoontalking.com/d/3A680D16,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/3A6…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-15,https://www.threads.com/@shaoqianglee/post/DGFnCAdJf_N,https://cartoontalking.com/d/3A680D16,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/3A6… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-14,https://www.threads.com/@shaoqianglee/post/DGEUoMZJGvW,https://cartoontalking.com/d/259A8F03,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/259… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-14,https://www.threads.com/@shaoqianglee/post/DGEAB_wpc0v,https://cartoontalking.com/d/0A478B44,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/0A4… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-14,https://www.threads.com/@shaoqianglee/post/DGDrbr8pt4L,https://cartoontalking.com/d/4ECBB526,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/4EC…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-14,https://www.threads.com/@shaoqianglee/post/DGDCPGJpn4F,https://cartoontalking.com/d/665AE573,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/665…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-14,https://www.threads.com/@shaoqianglee/post/DGCdm6vpL3L,https://cartoontalking.com/d/4E904B64,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/4E9…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-13,https://www.threads.com/@shaoqianglee/post/DGBv12YJkhF,https://cartoontalking.com/d/B9140BDE,threads1700,,1.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡Tarot cartoontalking.com/d/B91…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-13,https://www.threads.com/@shaoqianglee/post/DGBbPIrJKjZ,https://cartoontalking.com/d/9A6D7798,threads1700,,2.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡️ Tarot cartoontalking.com/d/9A6… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-13,https://www.threads.com/@shaoqianglee/post/DGBGpU5JFOF,https://cartoontalking.com/d/656D7A46,threads1700,,1.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡ Tarot cartoontalking.com/d/656… 2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,bikulov.petr,2025-02-13,https://www.threads.com/@bikulov.petr/post/DGAnOuOp8zb,https://cartoontalking.com/d/1A147794,,,0.0,cartoontalking.com,['qsh-alpha'],1,🤔 Phoebe's Shocking Past: Did You Catch This Friends Joke With A Hidden Meaning? cartoontalking.com/d/1A1…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,bikulov.petr,2025-02-13,https://www.threads.com/@bikulov.petr/post/DGAgXMYJXvN,https://cartoontalking.com/d/E92B4675,,,0.0,cartoontalking.com,['qsh-alpha'],1,"""He Knew..."": Matthew Perry's Mother Reveals Star's Premonition Before His Passing. An Emotional Reflection 🙏 cartoontalking.com/d/E92…  2 / 2",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-13,https://www.threads.com/@shaoqianglee/post/DGAdcDxJnWo,https://cartoontalking.com/d/656D7A46,threads1700,,1.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡ Tarot cartoontalking.com/d/656…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,bikulov.petr,2025-02-13,https://www.threads.com/@bikulov.petr/post/DGAZf0nJLfI,https://cartoontalking.com/d/8DA696C6,,,0.0,cartoontalking.com,['qsh-alpha'],1,"""I Miss You Every Day"": Courteney Cox Shares Emotional Memories of Matthew Perry a Year After His Passing 🙏 cartoontalking.com/d/8DA…  2 / 2",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,bikulov.petr,2025-02-13,https://www.threads.com/@bikulov.petr/post/DGASooiJzU_,https://cartoontalking.com/d/01A0CF45,,,0.0,cartoontalking.com,['qsh-alpha'],1,"Happy Birthday, Jen! Courteney's Loving Birthday Wish Proves Aniston is More Than Just a Friend - She's Family! 🥺🎂 cartoontalking.com/d/01A…  2 / 2",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,bikulov.petr,2025-02-13,https://www.threads.com/@bikulov.petr/post/DGALxB1p7-b,https://cartoontalking.com/d/40A902C0,,,1.0,cartoontalking.com,['qsh-alpha'],1,"Jennifer Aniston's Brave Admission: ""It Was a Challenging Road"" - Her Heartbreaking Journey to Motherhood ❤️🙏 cartoontalking.com/d/40A…  2 / 2",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-12,https://www.threads.com/@shaoqianglee/post/DF_LCXhJr5l,https://cartoontalking.com/d/D2654FE1,threads1700,,1.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡ Tarot cartoontalking.com/d/D26…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-12,https://www.threads.com/@shaoqianglee/post/DF-9TTopP3W,https://cartoontalking.com/d/E634AC05,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡  Tarot cartoontalking.com/d/E63…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-12,https://www.threads.com/@shaoqianglee/post/DF-h2jxpSHK,https://cartoontalking.com/d/9B7D2BC0,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,Get your tarot reading here ➡ Tarot cartoontalking.com/d/9B7…  2 / 2,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,mariaheloise260,2025-02-12,https://www.threads.com/@mariaheloise260/post/DF-MnFGJTKk,https://cartoontalking.com/d/4666C48D,threads3214,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou Tarot c,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,lvv86689,2025-02-12,https://www.threads.com/@lvv86689/post/DF-MIdkpkt7,https://cartoontalking.com/d/66E9EA62,threads745,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou Tarot c,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,katheryn_baez,2025-02-12,https://www.threads.com/@katheryn_baez/post/DF-JY7sJlZY,https://cartoontalking.com/d/2F692552,threads2269,,1.0,cartoontalking.com,['qsh-alpha'],1,"Curious about Tarot? 🌟✨ If you’re feeling uncertain, confused, or seeking guidance in your emotional journey, Tarot could offer you insight and clarity. Ready t",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-12,https://www.threads.com/@shaoqianglee/post/DF-IM-JpLa1,https://cartoontalking.com/d/CF406282,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,"Need some clarity in your emotional life? 🌙 Tarot could offer the answers you’re looking for. Whether it’s love, work, or personal growth, let the cards show yo",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,jlsilv.902,2025-02-12,https://www.threads.com/@jlsilv.902/post/DF-ICmyJavY,https://cartoontalking.com/d/561C08F2,threads336,,0.0,cartoontalking.com,['qsh-alpha'],1,"Curious about Tarot? 🌟✨ If you’re feeling uncertain, confused, or seeking guidance in your emotional journey, Tarot could offer you insight and clarity. Ready t",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,mariaheloise260,2025-02-12,https://www.threads.com/@mariaheloise260/post/DF-FvjVJhPy,https://cartoontalking.com/d/EBDD0ED7,threads3214,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou Tarot c,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,lvv86689,2025-02-12,https://www.threads.com/@lvv86689/post/DF-FP2AJwGY,https://cartoontalking.com/d/7054D824,threads745,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou Tarot c,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,katheryn_baez,2025-02-12,https://www.threads.com/@katheryn_baez/post/DF-ChYYpy7n,https://cartoontalking.com/d/6A0B0321,threads2269,,1.0,cartoontalking.com,['qsh-alpha'],1,"Curious about Tarot? 🌟✨ If you’re feeling uncertain, confused, or seeking guidance in your emotional journey, Tarot could offer you insight and clarity. Ready t",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-12,https://www.threads.com/@shaoqianglee/post/DF-BVitplhx,https://cartoontalking.com/d/C476FF3F,threads1700,,0.0,cartoontalking.com,['qsh-alpha'],1,"Need some clarity in your emotional life? 🌙 Tarot could offer the answers you’re looking for. Whether it’s love, work, or personal growth, let the cards show yo",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,jlsilv.902,2025-02-12,https://www.threads.com/@jlsilv.902/post/DF-BKbjpVqr,https://cartoontalking.com/d/BCB29A09,threads336,,0.0,cartoontalking.com,['qsh-alpha'],1,"Curious about Tarot? 🌟✨ If you’re feeling uncertain, confused, or seeking guidance in your emotional journey, Tarot could offer you insight and clarity. Ready t",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,stout.terrie,2025-02-12,https://www.threads.com/@stout.terrie/post/DF9_STzSZGP,https://cartoontalking.com/d/7F875C50,,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou  Tarot ,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,stout.terrie,2025-02-12,https://www.threads.com/@stout.terrie/post/DF9_OxCyzaa,https://cartoontalking.com/d/A6122E05,,,0.0,cartoontalking.com,['qsh-alpha'],1,"Curious about Tarot? 🌟✨ If you’re feeling uncertain, confused, or seeking guidance in your emotional journey, Tarot could offer you insight and clarity. Ready t",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,stout.terrie,2025-02-12,https://www.threads.com/@stout.terrie/post/DF9_LgZyYb4,https://cartoontalking.com/d/B831EAF2,,,0.0,cartoontalking.com,['qsh-alpha'],1,Struggling with emotional decisions or relationships? 💭 Tarot might just have the guidance you need. Let’s explore what the cards have in store for you! 🌿 Tarot,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,stout.terrie,2025-02-12,https://www.threads.com/@stout.terrie/post/DF9_Isky0q9,https://cartoontalking.com/d/B826B93A,,,0.0,cartoontalking.com,['qsh-alpha'],1,"Need some clarity in your emotional life? 🌙 Tarot could offer the answers you’re looking for. Whether it’s love, work, or personal growth, let the cards show yo",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,stout.terrie,2025-02-12,https://www.threads.com/@stout.terrie/post/DF9_FhayNsU,https://cartoontalking.com/d/D96B7462,,,0.0,cartoontalking.com,['qsh-alpha'],1,Wondering what the future holds for you? 🌟 Tarot readings can offer insights into your emotions and help you make empowered decisions. Ready for some clarity? 💫,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,stout.terrie,2025-02-12,https://www.threads.com/@stout.terrie/post/DF9_AJBy0pp,https://cartoontalking.com/d/84EE3033,,,16.0,cartoontalking.com,['qsh-alpha'],1,Someone may have moments where their overthinking and assumptions causes disruption in your relationship. It triggers the other person. This can be healed but i,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,mariaheloise260,2025-02-12,https://www.threads.com/@mariaheloise260/post/DF9-4Mtp1lr,https://cartoontalking.com/d/098A4359,threads3214,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou Tarot c,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,huntereleanor11,2025-02-12,https://www.threads.com/@huntereleanor11/post/DF9-ySNTcAu,https://cartoontalking.com/d/BB15871C,,,0.0,cartoontalking.com,['qsh-alpha'],1,Wondering what the future holds for you? 🌟 Tarot readings can offer insights into your emotions and help you make empowered decisions. Ready for some clarity? 💫,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,huntereleanor11,2025-02-12,https://www.threads.com/@huntereleanor11/post/DF9-rfrTgGl,https://cartoontalking.com/d/19675185,,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou  Tarot ,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,huntereleanor11,2025-02-12,https://www.threads.com/@huntereleanor11/post/DF9-ljmz_-e,https://cartoontalking.com/d/15361782,,,0.0,cartoontalking.com,['qsh-alpha'],1,"Curious about Tarot? 🌟✨ If you’re feeling uncertain, confused, or seeking guidance in your emotional journey, Tarot could offer you insight and clarity. Ready t",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,lvv86689,2025-02-12,https://www.threads.com/@lvv86689/post/DF9-YgCprAv,https://cartoontalking.com/d/DC8E7BE9,threads745,,0.0,cartoontalking.com,['qsh-alpha'],1,Feeling lost or in need of direction? 💫 Tarot can be a powerful tool for emotional guidance. Let the cards help you find your way forward! 🌙 TarotForYou Tarot c,sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,katheryn_baez,2025-02-12,https://www.threads.com/@katheryn_baez/post/DF97podJHIB,https://cartoontalking.com/d/234483AE,threads2269,,0.0,cartoontalking.com,['qsh-alpha'],1,"Curious about Tarot? 🌟✨ If you’re feeling uncertain, confused, or seeking guidance in your emotional journey, Tarot could offer you insight and clarity. Ready t",sweep_b1_hits.csv
2026-09-05_13-23-41,qsh-alpha,cartoontalking.com,shaoqianglee,2025-02-12,https://www.threads.com/@shaoqianglee/post/DF96eGyJZpn,https://cartoontalking.com/d/0DE46635,threads1700,,1.0,cartoontalking.com,['qsh-alpha'],1,"Need some clarity in your emotional life? 🌙 Tarot could offer the answers you’re looking for. Whether it’s love, work, or personal growth, let the cards show yo",sweep_b1_hits.csv
