account,posts,farm_posts,card_posts,ratio,clusters,top_domains,tags,uids,self_reply_2of2,non_registry_top,joined,location,followers,following,first,last,serp_tag,verdict,source_file
iovd5k,200,100,100,0.5,qsh-alpha:100,wujfu.com:100,,,100,,April 2025,Taiwan,16,0,2025-11-30,2026-01-10,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
xiaoxiasaya,200,100,100,0.5,qsh-alpha:100,412lala.com:100,,,100,,September 2024,Hong Kong,1405,4,2026-06-02,2026-07-24,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
kpopdailylife_22,234,99,99,0.42,"qsh-beta:98,family-01:1","picelse.com:98,coolgirl01.com:1",,utm_term=8901×99,96,,January 2025,Malaysia,333,16,2025-01-10,2026-08-21,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
leealy796,201,99,99,0.49,qsh-alpha:99,"eoeonews.com:29,dsawjk.com:19,comeworlds.com:13,wiusbh.com:7,jkingtimes.com:6,furnishwe.com:6",#threads9656×99,,100,"47.com:3,party.com:1,naivety.com:1,daapower.com:1",June 2025,Hong Kong,46,0,2026-02-16,2026-03-24,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
summer_699,365,92,81,0.25,"qsh-alpha:91,cand-anyelse-net:1","666.44finefood.com:41,jkingtimes.com:25,aigo7.com:6,dsawjk.com:5,eoeonews.com:5,comeworlds.com:4",,,83,"s.shopee.tw:44,gigafile.cc:21,lin.ee:10,novel.com:2",August 2024,Taiwan,42,3,2025-02-28,2026-02-04,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
runliangchan,217,83,82,0.38,qsh-alpha:83,"wujfu.com:77,fgnj1634.com:5,dsawjk.com:1","#shaoqingyan×11,#threads3290×1",,80,,August 2024,Taiwan,11200,1,2024-09-30,2026-01-30,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
zhengjiazhizheng,289,76,0,0.26,qsh-alpha:76,"furnishwe.com:66,picture.t9y3c.com:10",,,71,"petbasego.com:8,open-selfless.com:5",July 2024,Taiwan,166,7,2024-09-14,2024-11-18,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
paul2756a,202,72,68,0.36,"qsh-alpha:63,cand-anyelse-net:9","cartoontalking.com:50,kidy-kidy.com:5,goodtime-life.com:5,tarooot.com:4,zavideo.successs-experience.com:3,sarahtalkshow.com:3",#threads1205×24,,72,"kidy.com:5,life.com:5,experience.com:3",,,14,61,2024-10-22,2025-03-26,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
katheryn_baez,233,69,33,0.3,"cand-anyelse-net:52,qsh-alpha:17","tarooot.com:52,kidy-kidy.com:9,cartoontalking.com:8","#threads2269×22,#gw#threads2269×2",,70,"kidy.com:9,amzn.to:4",September 2024,Hong Kong,4135,9,2024-12-02,2025-03-26,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
madinkaa__0027,205,69,57,0.34,qsh-alpha:69,welook365.com:69,,,68,,December 2023,Taiwan,118,0,2024-10-24,2025-08-05,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
win34922024,218,58,56,0.27,"qsh-alpha:47,cand-anyelse-net:11","kidy-kidy.com:45,tarooot.com:11,cartoontalking.com:2","#threads1264×5,#gw#threads1264×4,#threads1700#threads1264×2",,62,"kidy.com:45,amzn.to:2",August 2024,China,124,0,2024-11-22,2025-09-04,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
prudencesaulsaul,96,45,44,0.47,qsh-alpha:45,19globalnews.com:45,,,43,,August 2024,Hong Kong,0,0,2024-08-29,2024-09-20,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
1blanchecarter4,203,38,31,0.19,qsh-alpha:38,"comeworlds.com:35,pets-naivety.com:2,pets-dote.com:1",#threads9137×31,,86,"pointrin.com:25,dote.com:1,naivety.com:1",June 2025,Taiwan,70,0,2025-08-15,2025-10-22,case003_r2_recalc|qsh-alpha,散布者（發文史核實）,case003_r2_recalc_verdicts.csv
mech.elleagotting,318,2,2,0.01,qsh-alpha:2,furnishwe.com:2,"#threads4820photographers×1,#threads4820×1",,39,"instagram.com:20,facebook.com:14,weibo.com:2,buff.ly:2",October 2024,United Kingdom,33,96,2024-10-25,2024-11-16,case003_r2_recalc|qsh-alpha,偶發轉貼（發文史 <5 篇且 <20%）,case003_r2_recalc_verdicts.csv
mii._.tan34,309,1,1,0.0,qsh-alpha:1,jp.paintbucke.com:1,#threads2838×1,,2,"newsdig.tbs.co.jp:2,sn-jp.com:1,line.me:1,news.tv-asahi.co.jp:1",June 2024,Japan,119,109,2025-08-11,2026-09-04,case003_r2_recalc|qsh-alpha,偶發轉貼（發文史 <5 篇且 <20%）,case003_r2_recalc_verdicts.csv
yomogi.sari,218,1,1,0.0,qsh-alpha:1,jp.paintbucke.com:1,#threads1064×1,,1,"youme-mobile.com:1,mobile.com:1,octopusenergy.co.jp:1,room.rakuten.co.jp:1",September 2025,Japan,252,141,2025-09-11,2026-09-03,case003_r2_recalc|qsh-alpha,偶發轉貼（發文史 <5 篇且 <20%）,case003_r2_recalc_verdicts.csv
gitin.grisha,209,1,1,0.0,qsh-alpha:1,eoeonews.com:1,,,100,pointrin.com:105,September 2024,Hong Kong,16,5,2025-10-11,2026-01-30,case003_r2_recalc|qsh-alpha,偶發轉貼（發文史 <5 篇且 <20%）,case003_r2_recalc_verdicts.csv
situbuscaslaverdad,328,0,0,0.0,,,,,1,"share.google:9,asahi.com:4,news.yahoo.co.jp:2,fnn.jp:1",August 2023,Japan,2701,7410,2025-11-05,2026-08-26,case003_r2_recalc|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,case003_r2_recalc_verdicts.csv
daxizhiwen,319,0,0,0.0,,,,,9,"x.com:64,r.whowatch.tv:26,youtu.be:18,youtube.com:15",,,85,74,2023-12-18,2026-03-11,case003_r2_recalc|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,case003_r2_recalc_verdicts.csv
etsuko_takei,319,0,0,0.0,,,,,5,"ja.wikipedia.org:1,youtube.com:1,358daiwa.com:1,youtu.be:1",July 2023,Japan,351,551,2025-04-18,2026-09-04,case003_r2_recalc|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,case003_r2_recalc_verdicts.csv
lio5895768,315,0,0,0.0,,,,,5,"youtube.com:6,youtu.be:2,nishinippon.co.jp:1,bin.com:1",June 2024,Japan,31,75,2025-08-10,2026-09-02,case003_r2_recalc|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,case003_r2_recalc_verdicts.csv
ueno_kaz,304,0,0,0.0,,,,,3,"youtube.com:14,instagram.com:9,facebook.com:6,news.yahoo.co.jp:4",July 2023,Japan,474,788,2026-06-20,2026-09-04,case003_r2_recalc|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,case003_r2_recalc_verdicts.csv
ylm17698,202,0,0,0.0,,,,,85,"lin.ee:37,ugzjo.com:37,s.shopee.tw:4",April 2025,Taiwan,84,0,2025-08-20,2025-11-01,case003_r2_recalc|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,case003_r2_recalc_verdicts.csv
zhuxiaowu3,188,111,106,0.59,qsh-alpha:111,"wujfu.com:108,comeworlds.com:2,12beststar.com:1",#threads183×1,,50,"mbti1.xlpxo.com:4,lin.ee:2,s.shopee.tw:1",August 2024,Taiwan,,,2025-04-30,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
haha123zx,102,100,0,0.98,qsh-beta:100,luckyelse.com:100,,,0,,December 2024,Malaysia,,,2025-11-18,2026-02-28,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
chen95244822,148,95,95,0.64,cand-qhd-adstxt:95,acg1213.com:95,,,50,sspo18.vip:3,August 2024,Hong Kong,,,2024-11-29,2026-01-30,kw_b3_r3|cand-qhd-adstxt,散布者（發文史核實）,r3_session1_verdicts.csv
inzwg2025,140,90,90,0.64,cand-anyelse-net:90,15lovingclub.com:90,,,50,,April 2025,China,37.0,,2025-10-02,2026-02-04,kw_b3_r3|cand-anyelse-net,散布者（發文史核實）,r3_session1_verdicts.csv
tiktoknews747,118,64,64,0.54,"qsh-beta:62,family-01:2","picelse.com:62,runelse.com:2",,utm_term=1883×64,53,,November 2024,Malaysia,,,2024-12-03,2025-02-01,kw_b1_r3|family-01,散布者（發文史核實）,r3_session1_verdicts.csv
phpnews747,113,62,55,0.55,"qsh-beta:55,family-01:7","picelse.com:55,runelse.com:7",,utm_term=1883×55,51,,July 2024,,,,2024-09-30,2026-06-05,kw_b1_r3|family-01,散布者（發文史核實）,r3_session1_verdicts.csv
yunghuiwong,119,61,58,0.51,"family-01:54,qsh-beta:7","vivi01.com:54,picelse.com:7",,utm_term=3863×55,56,,August 2024,,,,2024-08-10,2026-09-07,kw_b1_r3|family-01+qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
chinesenews747,110,58,55,0.53,"qsh-beta:57,family-01:1","picelse.com:57,runelse.com:1",,utm_term=1883×55,50,,July 2024,,,,2024-08-12,2026-06-05,kw_b1_r3|family-01,散布者（發文史核實）,r3_session1_verdicts.csv
yangji8500,112,57,57,0.51,qsh-beta:57,"picelse.com:56,luckyelse.com:1",,utm_term=8842×57,50,,July 2024,Malaysia,350.0,,2026-02-10,2026-09-08,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
junyan5858,108,56,56,0.52,qsh-alpha:56,cartoontalking.com:56,,,52,,September 2024,Hong Kong,46.0,,2024-11-28,2024-12-15,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
kennyng5291,107,56,55,0.52,qsh-beta:56,picelse.com:56,,utm_term=8842×55,51,,February 2026,Malaysia,,,2026-02-17,2026-09-09,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
kkme124412026,111,54,54,0.49,qsh-beta:54,picelse.com:54,,utm_term=8842×54,51,,February 2026,Malaysia,367.0,,2026-04-17,2026-09-08,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
hia153866,108,52,52,0.48,qsh-alpha:52,roadstert.com:52,,,51,,September 2024,Hong Kong,,,2025-01-17,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
huying904,106,52,52,0.49,cand-qhd-adstxt:52,acg1213.com:52,,,52,,October 2024,China,,,2026-01-17,2026-04-14,kw_b3_r3|cand-qhd-adstxt,散布者（發文史核實）,r3_session1_verdicts.csv
nny3086222025,140,51,51,0.36,cand-anyelse-net:51,15lovingclub.com:51,,,51,,April 2025,Hong Kong,,,2025-05-26,2026-02-04,kw_b3_r3|cand-anyelse-net,散布者（發文史核實）,r3_session1_verdicts.csv
cpsoqt,105,51,51,0.49,qsh-beta:51,picelse.com:51,,utm_term=1127×51,51,,July 2026,,,,2026-08-04,2026-09-10,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
fbnews747,104,51,51,0.49,"qsh-beta:49,family-01:2","picelse.com:49,runelse.com:2",,utm_term=1883×51,51,,November 2024,,,,2024-12-03,2025-01-19,kw_b1_r3|family-01,散布者（發文史核實）,r3_session1_verdicts.csv
minilovenovel,103,51,51,0.5,"cand-qhd-adstxt:50,qsh-alpha:1","acg1213.com:50,comeworlds.com:1",,,50,sweetastes.com:1,December 2023,Hong Kong,233.0,,2024-09-03,2026-01-30,kw_b3_r3|cand-qhd-adstxt,散布者（發文史核實）,r3_session1_verdicts.csv
doushijiahao123,103,51,51,0.5,qsh-alpha:51,lfqgj.com:51,,,51,,October 2024,Taiwan,,,2025-01-22,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
liuyuqing929,103,51,51,0.5,qsh-alpha:51,wujfu.com:51,,,51,,September 2024,Taiwan,,,2025-02-27,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
lailinlin0916,102,51,51,0.5,qsh-alpha:51,wujfu.com:51,,,51,,September 2024,Taiwan,,,2026-08-24,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
hongrong74,102,51,51,0.5,qsh-alpha:51,wujfu.com:51,,,51,,September 2024,Hong Kong,,,2026-08-24,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
hongjingru96,102,51,51,0.5,qsh-alpha:51,wujfu.com:51,,,51,,September 2024,Taiwan,,,2026-08-24,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
rosewhittier6,102,51,51,0.5,qsh-alpha:51,wujfu.com:51,,,51,,June 2025,Hong Kong,,,2026-08-25,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
hia3473112025,113,50,50,0.44,cand-anyelse-net:50,15lovingclub.com:50,,,50,,April 2025,Hong Kong,40.0,,2025-05-24,2026-02-04,kw_b3_r3|cand-anyelse-net,散布者（發文史核實）,r3_session1_verdicts.csv
bufengwuna,102,50,50,0.49,qsh-alpha:50,lfqgj.com:50,,,50,,October 2024,Hong Kong,,,2025-01-21,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
kjmjunga2,101,50,50,0.5,cand-qhd-adstxt:50,acg1213.com:50,,,50,sweetastes.com:1,December 2023,Taiwan,494.0,,2024-10-25,2026-01-30,kw_b3_r3|cand-qhd-adstxt,散布者（發文史核實）,r3_session1_verdicts.csv
poo2dr,101,50,49,0.5,qsh-alpha:50,lfqgj.com:50,,,50,,March 2025,Hong Kong,,,2025-05-09,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
cute.cute1229,101,50,39,0.5,family-01:50,runelse.com:50,,utm_term=1185×39,50,,July 2024,Singapore,,,2024-09-24,2025-08-26,kw_b1_r3|family-01,散布者（發文史核實）,r3_session1_verdicts.csv
video_clips818,101,50,42,0.5,family-01:50,runelse.com:50,,utm_term=1185×42,50,,July 2024,,,,2024-09-15,2025-11-12,kw_b1_r3|family-01,散布者（發文史核實）,r3_session1_verdicts.csv
hanqiuyue2,100,50,50,0.5,qsh-alpha:50,lovewdk.com:50,,,50,,August 2024,Taiwan,195.0,,2026-03-10,2026-05-05,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
ovc59181,100,50,50,0.5,qsh-alpha:50,"lfqgj.com:49,comeworlds.com:1",,,50,,April 2025,Taiwan,,,2026-07-23,2026-08-20,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
jyuhuai,100,50,50,0.5,qsh-alpha:50,cartoontalking.com:50,,,49,,September 2024,Hong Kong,2.0,,2024-12-09,2024-12-14,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
shokodotani,100,50,50,0.5,qsh-alpha:50,"roadstert.com:49,foodszon.com:1",,,50,,,,,,2026-01-14,2026-01-30,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
aimuhui,100,49,49,0.49,qsh-alpha:49,wujfu.com:49,,,50,,September 2024,Taiwan,,,2026-08-28,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
kpopnews1999,100,48,48,0.48,"qsh-beta:39,qsh-gamma:6,family-01:3","luckyelse.com:27,picelse.com:12,picread.net:3,thisreader.com:3,cocovn.net:1,vivi01.com:1",,"utm_term=8427×40,uid=1143×3,uid=12853×3,utm_term=9380×1,utm_term=9201×1",50,facebook.com:2,November 2025,Malaysia,4.0,,2025-11-20,2026-06-19,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
kpopd_aily21,100,47,47,0.47,qsh-beta:47,"picelse.com:46,luckyelse.com:1",,utm_term=8842×47,50,"gotule.com:2,dulepic.com:1",February 2026,Malaysia,,,2026-04-08,2026-08-24,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
ksxyiy,103,44,43,0.43,qsh-alpha:44,wujfu.com:44,,,45,,April 2025,Hong Kong,,,2025-11-03,2025-12-03,kw_b1_r3|cand-docilepuppy,散布者（發文史核實）,r3_session1_verdicts.csv
yiqsj2025,102,44,44,0.43,qsh-alpha:44,comeworlds.com:44,#threads7036×44,,51,lin.ee:7,June 2025,Taiwan,,,2026-08-24,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
shaoqianglee,174,43,43,0.25,cand-anyelse-net:43,tarooot.com:43,#threads1700#threads1700×38,,46,wa.me:41,August 2024,Taiwan,3200.0,,2025-03-15,2025-07-24,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
mibg1yurc2024,105,42,42,0.4,qsh-alpha:42,lfqgj.com:42,,,50,lin.ee:8,October 2024,Hong Kong,,,2025-01-20,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
dunaykin.igor,101,40,40,0.4,qsh-alpha:40,wujfu.com:40,,,40,,September 2024,Taiwan,,,2026-08-20,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
violet374546,106,36,34,0.34,qsh-alpha:36,picture.t9y3c.com:36,,,36,,August 2024,Hong Kong,,,2024-11-22,2025-08-05,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
linpingyuan1,103,35,35,0.34,qsh-alpha:35,wujfu.com:35,,,35,,September 2024,Taiwan,,,2025-05-08,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
mariakeppel8,101,35,35,0.35,qsh-alpha:35,wujfu.com:35,,,35,,June 2025,China,,,2026-08-07,2026-09-10,kw_b1_r3|cand-docilepuppy+qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
avyvq1,102,34,30,0.33,qsh-alpha:34,picture.t9y3c.com:34,,,34,daapower.com:1,August 2024,Hong Kong,,,2024-08-30,2025-08-05,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
chew8313,71,34,34,0.48,"qsh-beta:26,qsh-gamma:5,family-01:3","luckyelse.com:23,thisreader.com:4,picelse.com:3,cocovn.net:2,kimishare.org:1,vivi01.com:1",,"utm_term=8427×26,uid=12853×4,uid=12690×1,utm_term=9380×1,utm_term=9201×1,utm_term=8788×1",33,"facebook.com:4,hopesuccesss.com:1",June 2025,,0.0,,2025-06-17,2026-06-04,kw_b1_r3|family-01+qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
016c5276757,111,29,29,0.26,qsh-alpha:29,"furnishwe.com:20,bestone-work.com:5,kidy-party.com:4",#threads4956×24,,39,"up.com:8,dailydaily-up.com:8,work.com:5,party.com:4",October 2024,Hong Kong,45.0,,2024-12-06,2026-09-09,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
keatcek000003,49,25,14,0.51,"qsh-beta:18,family-01:7","picelse.com:14,runelse.com:7,luckyelse.com:4",,utm_term=8649×14,24,facebook.com:11,January 2026,Malaysia,,,2026-01-13,2026-03-18,kw_b1_r3|family-01+qsh-beta,散布者（發文史核實）,r3_session1_verdicts.csv
loxonac515,115,18,17,0.16,"cand-anyelse-net:17,qsh-alpha:1","tarooot.com:17,kidy-kidy.com:1",#threads3961×16,,38,"wa.me:2,kidy.com:1",September 2024,China,373.0,,2025-02-21,2026-01-03,kw_b3_r3|cand-anyelse-net,散布者（發文史核實）,r3_session1_verdicts.csv
huntereleanor11,122,14,14,0.11,"qsh-alpha:10,cand-anyelse-net:4","kidy-kidy.com:6,tarooot.com:4,cartoontalking.com:4","#threads3219×4,#threads1700#threads3219×1",,21,"kidy.com:6,s.shopee.tw:1",August 2024,Hong Kong,94.0,,2024-09-30,2025-09-22,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
stout.terrie,189,12,12,0.06,"qsh-alpha:11,cand-anyelse-net:1","cartoontalking.com:10,tarooot.com:1,kidy-kidy.com:1",#threads2315×2,,54,"anymn.com:71,wa.me:23,kidy.com:1",September 2024,Taiwan,339.0,,2024-10-08,2026-01-03,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
bikulov.petr,123,12,9,0.1,"qsh-alpha:8,cand-anyelse-net:4","cartoontalking.com:8,tarooot.com:4",#threads1700×1,,28,,August 2024,China,242.0,,2024-10-17,2025-12-17,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
jlsilv.902,155,9,9,0.06,"qsh-alpha:6,cand-anyelse-net:3","cartoontalking.com:6,tarooot.com:3","#threads336×8,#gw#threads336×1",,42,"anymn.com:27,amzn.to:4,gigafile.cc:1,youtu.be:1",August 2024,Taiwan,1500.0,,2024-11-01,2025-07-29,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
juliana551107,100,5,5,0.05,qsh-alpha:5,"comeworlds.com:3,veltot.com:2",#threads11044×5,,50,tinyurl.com:37,July 2025,Hong Kong,482.0,,2026-08-28,2026-09-10,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session1_verdicts.csv
lvv86689,130,4,4,0.03,qsh-alpha:4,cartoontalking.com:4,#threads745×4,,55,"tiktok.com:25,wa.me:24,anymn.com:1",August 2024,Hong Kong,670.0,,2024-11-25,2026-01-04,kw_b1_r3|qsh-alpha,偶發轉貼（發文史 <5 篇且 <20%）,r3_session1_verdicts.csv
kadowatavuch,119,2,2,0.02,cand-anyelse-net:2,tarooot.com:2,#threads4167×2,,50,wa.me:25,October 2024,Hong Kong,1400.0,,2025-07-03,2025-12-27,kw_b3_r3|cand-anyelse-net,偶發轉貼（發文史 <5 篇且 <20%）,r3_session1_verdicts.csv
chikatengsen,106,1,1,0.01,cand-anyelse-net:1,tarooot.com:1,#threads3974×1,,32,wa.me:31,September 2024,Hong Kong,272.0,,2025-05-30,2025-09-04,kw_b3_r3|cand-anyelse-net,偶發轉貼（發文史 <5 篇且 <20%）,r3_session1_verdicts.csv
yetta30422,138,78,78,0.57,"qsh-alpha:65,cand-qhd-adstxt:13","child-loves.com:64,cartoonfans766.com:13,cookicway.com:1",,,55,"loves.com:64,eoeolike.com:2",August 2024,China,,,2024-08-29,2025-02-04,kw_b3_r3|cand-qhd-adstxt,散布者（發文史核實）,r3_session2_verdicts.csv
