idx,name,cnt,d4,D3_claude,D3_codex,D3_consensus
55,Atomic Kinetic Energy Technology,2,INVEST,B,B,B
56,拓邦購物,10,SHOP,B,B,B
57,Ethrefund,2,INVEST,B,B,B
58,TSDC TECHDATA,2,INVEST,U,U,U
59,Brainwave,7,INVEST,B,B,B
60,OTDVC,4,INVEST,B,B,B
61,御鼎,24,INVEST,U,U,U
62,HHJUV,9,INVEST,B,B,B
63,Boneac,5,INVEST,B,B,B
64,Titan,10,INVEST,B,B,B
65,Inter tive,1,INVEST,B,B,B
66,Colend,2,INVEST,B,B,B
67,Boken Pay,4,INVEST,B,B,B
68,OLDVR,6,INVEST,B,B,B
69,智威國際事業有限公司,3,INVEST,U,U,U
70,瑞奇國際,30,INVEST,U,U,U
71,Teastore,6,SHOP,B,B,B
72,e點成金,44,INVEST,B,B,B
73,Featured Mall,3,SHOP,B,B,B
74,Morgan Stanley,2,INVEST,A,A,A
75,信達國際,4,INVEST,U,A,U
76,Fanbtctw,26,INVEST,B,B,B
77,DTKL,6,INVEST,B,B,B
78,Mizuho,3,INVEST,A,A,A
79,青石板證券,6,INVEST,B,U,U
80,Onetenthousandth,1,INVEST,B,B,B
81,SAFEX,2,INVEST,U,B,U
82,TRX2.0,1,INVEST,U,B,U
83,中銀國際,11,INVEST,A,A,A
84,Waroom Mall,4,SHOP,B,B,B
85,玖瞬數位軟體,12,INVEST,B,U,U
86,仕事?入?口,5,INVEST,B,B,B
87,國有資本,4,INVEST,B,B,B
88,ebay官方授權廣告交易合作協力廠商擔保服務平台,1,INVEST,A,A,A
89,Vulcanus,2,INVEST,B,B,B
90,領峰貴金屬,2,INVEST,U,A,U
91,IG Global Limited,6,INVEST,A,A,A
92,KICK,12,INVEST,B,B,B
93,Pictet PRO,1,INVEST,A,A,A
94,百利宮娛樂城,1,GAMBLE,B,B,B
95,MAYWCT,19,INVEST,B,B,B
96,YOMOSHOP,34,SHOP,B,B,B
97,Kavebrlbge,16,INVEST,B,B,B
98,HBTRX,11,INVEST,B,B,B
99,MEME,10,INVEST,B,B,B
100,FHII,1,INVEST,B,B,B
101,宏遠證券,27,INVEST,A,A,A
102,Raknten樂天商城,2,SHOP,A,A,A
103,JKB,2,INVEST,B,B,B
104,Gold Shop,1,SHOP,B,B,B
105,海淘內部營銷平台,5,INVEST,B,B,B
106,麥格理資產管理,71,INVEST,A,A,A
107,Eurtwoxt,15,INVEST,B,B,B
108,CIBC,4,INVEST,A,A,A
109,聯博,2,INVEST,A,A,A
110,Eos Snap,16,INVEST,B,B,B
111,Kaola-seller,3,INVEST,A,A,A
112,Tezos,1,INVEST,A,A,A
113,豐隆國際,10,INVEST,U,U,U
114,NBC-CEX,1,INVEST,B,B,B
115,鑫鴻財富,133,INVEST,B,B,B
116,台灣大眾商品交易所,4,INVEST,B,U,U
117,WEBUY,1,SHOP,B,B,B
118,XMEIPRO,8,INVEST,B,B,B
119,Vanlian,1,INVEST,B,B,B
120,碩天,16,INVEST,U,U,U
121,元大期貨,3,INVEST,A,A,A
122,Yscle,7,INVEST,B,B,B
123,聚匯,2,INVEST,B,B,B
124,ENO,10,INVEST,B,B,B
125,OKX,263,INVEST,A,A,A
126,樂易購,3,INVEST,B,B,B
127,Lonyady,1,INVEST,B,B,B
128,IEX國際企業電商,56,SHOP,U,B,U
129,鴻景E行動,16,INVEST,B,U,U
130,YIYISHOP內部營銷平台,2,SHOP,B,B,B
131,MEWT,3,INVEST,B,B,B
132,TK小店,5,INVEST,B,B,B
133,永利皇宮,29,INVEST,A,A,A
134,鴻棋國際,5,INVEST,B,U,U
135,PGULE,22,INVEST,B,B,B
136,國際半導體產業協會,20,INVEST,A,A,A
137,Kaxiooo,1,INVEST,B,B,B
138,Bing Coins,25,INVEST,B,B,B
139,Lunexsy,14,INVEST,B,B,B
140,IUBS,13,INVEST,U,B,U
141,Tidalex,1,INVEST,B,B,B
142,SLH,9,INVEST,B,B,B
143,Pink Night,4,INVEST,B,B,B
144,OTTO Market,1,SHOP,U,B,U
145,YOC,6,INVEST,B,B,B
146,德盛投資,7,INVEST,U,A,U
147,歐麥隆購物,3,SHOP,B,B,B
148,KesyMark,2,INVEST,B,B,B
149,Viking,2,INVEST,B,B,B
150,MEET-CITY,1,INVEST,B,B,B
151,廣盛娛樂,1,INVEST,B,B,B
152,大業證券,1,INVEST,U,A,U
153,BabySwap,14,INVEST,U,B,U
154,時富金融,5,INVEST,U,A,U
155,Vogue Mall,6,SHOP,B,B,B
156,ProEX,27,INVEST,B,B,B
157,量化科技,2,INVEST,B,B,B
158,華原投資,54,INVEST,B,U,U
159,三寶包批發團購市集,6,INVEST,B,B,B
160,ZactiTean,6,INVEST,B,B,B
161,阿里巴巴,88,INVEST,A,A,A
162,bete-dex,24,GAMBLE,B,B,B
163,Luxury,29,INVEST,B,B,B
164,古董工藝品,6,INVEST,B,B,B
165,Jsun Finanacial,26,INVEST,B,B,B
166,玉杉,44,INVEST,U,U,U
167,富京,3,INVEST,U,U,U
168,達宇資產,25,INVEST,B,U,U
169,SGH,1,INVEST,B,B,B
170,夜色俱樂部,5,INVEST,B,B,B
171,HKEX香港交易所,4,INVEST,A,A,A
172,安順極速貸,1,INVEST,B,B,B
173,CLSA,6,INVEST,A,A,A
174,正出娛樂,13,INVEST,B,B,B
175,BILLDATA,1,INVEST,B,B,B
176,STRD,5,INVEST,B,B,B
177,Advanced-Trade,1,INVEST,B,B,B
178,鴻德混沌資產管理,2,INVEST,B,U,U
179,MORX,8,INVEST,B,B,B
180,Pecuhlan,18,INVEST,B,B,B
181,Bitonic,18,INVEST,U,B,U
182,Modern Box,1,INVEST,B,B,B
183,TimyMall,2,SHOP,B,B,B
184,SOPH,1,INVEST,B,B,B
185,孤松金融,1,INVEST,B,U,U
186,Binance Trading,1,INVEST,A,A,A
187,華盛國際,31,INVEST,U,U,U
188,IFC,18,INVEST,U,B,U
189,勝凱國際,28,INVEST,B,U,U
190,Shop Stereo,2,SHOP,B,B,B
191,BITDF,2,INVEST,B,B,B
192,WSML,16,INVEST,B,B,B
193,XANK,5,INVEST,B,B,B
194,東南慧通,8,INVEST,B,U,U
195,Trutrade,8,INVEST,B,B,B
196,永鑫,1,INVEST,B,U,U
197,Mercado livre,12,INVEST,A,A,A
198,YDNEX,8,INVEST,B,B,B
199,BIBX,4,INVEST,B,B,B
200,安森爾娛樂城,1,GAMBLE,B,B,B
201,OMF,5,INVEST,B,B,B
202,IGGROUP,23,INVEST,A,A,A
203,4C四國娛樂城,1,GAMBLE,B,B,B
204,晟元證券,18,INVEST,U,U,U
205,優選賣場,33,SHOP,B,B,B
206,第一證券,63,INVEST,A,A,A
207,PSDKY,19,INVEST,B,B,B
208,WEPBK,5,INVEST,B,B,B
209,賣貨便,9,INVEST,A,A,A
210,ZFTHYD,2,INVEST,B,B,B
211,BizBilla,1,INVEST,U,B,U
212,LtdExc,1,INVEST,B,B,B
213,拓璞,6,INVEST,U,U,U
214,大華銀行,2,INVEST,A,A,A
215,Bakkt.co,29,INVEST,A,A,A
216,AKUK,10,INVEST,B,B,B
217,3A遊戲城,2,INVEST,B,B,B
218,Kraken,157,INVEST,A,A,A
219,Vstmex Exchange,2,INVEST,B,B,B
220,Investorx,4,INVEST,B,B,B
221,Gotco,1,INVEST,B,U,U
222,TGK Exchange,4,INVEST,B,B,B
223,Easy Shop,1,SHOP,B,B,B
224,星願萌寶屋,1,INVEST,B,B,B
225,Steade,10,INVEST,B,B,B
226,RDUYE,8,INVEST,B,B,B
227,Notex,3,INVEST,B,B,B
228,SPK,6,INVEST,B,B,B
229,萬洲金業,29,INVEST,U,A,U
230,ZentraX,28,INVEST,B,B,B
231,Business,3,INVEST,B,B,B
232,DESK,29,INVEST,B,B,B
233,和瑋投資,33,INVEST,B,U,U
234,急速彩票,1,INVEST,B,B,B
235,OKBIT,1,INVEST,B,B,B
236,柏瑞,10,INVEST,U,A,U
237,WEGE,30,INVEST,B,B,B
238,Exp Copytrading,1,INVEST,B,B,B
239,AEX,22,INVEST,U,A,U
240,TUN,8,INVEST,B,B,B
241,托克國際,25,INVEST,A,U,U
242,Lcoin,25,INVEST,B,B,B
243,VM Markets LTD,5,SHOP,B,U,U
244,Cryptolotto,2,INVEST,B,B,B
245,WNCG,15,INVEST,B,B,B
246,Warner Bros,5,INVEST,A,A,A
247,Dreammallshop,38,SHOP,B,B,B
248,SK購物（Ali Shopping、Wanl Shop）,21,SHOP,B,B,B
249,Digitalbase,1,INVEST,B,B,B
250,AuroraChain極光鏈,1,INVEST,B,A,U
251,HKDSTTD,3,INVEST,B,B,B
252,IOOF,4,INVEST,U,A,U
253,Bitrich,7,INVEST,B,B,B
254,NISM,3,INVEST,B,B,B
255,Belkin,5,INVEST,A,A,A
256,AXIB,4,INVEST,B,B,B
257,Globalfinery,2,INVEST,B,B,B
258,陽信證券,13,INVEST,U,A,U
259,BTCsense,3,INVEST,B,B,B
260,Dcmsxstx,1,INVEST,B,B,B
261,Chaebol（惠普金融）,3,INVEST,U,A,U
262,台灣徵才網,24,JOB,B,B,B
263,Low Earth orbit,78,INVEST,B,B,B
264,Security,1,INVEST,B,B,B
265,Vantwnow,17,INVEST,B,B,B
266,暐達,24,INVEST,U,U,U
267,樂天證券,6,INVEST,A,A,A
268,HDXC,1,INVEST,B,B,B
269,SXE,13,INVEST,B,B,B
270,woot!,2,INVEST,B,A,U
271,泓勝,25,INVEST,U,U,U
272,Expcoin,5,INVEST,B,B,B
273,中國航天,2,INVEST,A,A,A
274,MAC,4,INVEST,B,B,B
275,Ausmet,10,INVEST,B,B,B
276,MarkMall,1,SHOP,B,B,B
277,KEYCOR,3,INVEST,B,B,B
278,NASDAQ,85,INVEST,A,A,A
279,GMIFX,3,INVEST,B,B,B
280,VMISL,17,INVEST,B,B,B
281,鼎碩,13,INVEST,U,U,U
282,LIFFE,15,INVEST,A,A,A
283,偉民證券,16,INVEST,U,U,U
284,富泰金融,10,INVEST,B,U,U
285,7-11賣貨便,4,INVEST,A,A,A
286,Ava stone,4,INVEST,B,B,B
287,Mina,6,INVEST,B,B,B
288,Flashcoin,2,INVEST,B,B,B
289,Archlinux,7,INVEST,B,A,U
290,DonCoin,4,INVEST,B,B,B
291,貝萊康斯特,1,INVEST,B,B,B
292,Showroomprive,1,INVEST,U,A,U
293,FindeMa,5,INVEST,B,B,B
294,Fusion Markets,33,SHOP,U,A,U
295,BIG MIN,19,INVEST,B,B,B
296,Coinance,4,INVEST,B,B,B
297,Web3.0,36,INVEST,B,B,B
298,職員專區,130,INVEST,B,B,B
299,FX MAX,2,INVEST,B,B,B
300,良益,13,INVEST,B,U,U
301,伍波比商城,4,SHOP,B,B,B
302,BNRGK,10,INVEST,B,B,B
303,海港全球購,1,INVEST,B,B,B
304,JD-STORE,1,SHOP,A,B,U
305,IWC,77,INVEST,A,A,A
306,鑫盛（Win Plus）,23,INVEST,B,B,B
307,LL Shop,11,SHOP,B,B,B
308,復華投信,41,INVEST,A,A,A
309,BitKeep Pro,2,INVEST,A,A,A
310,PG Mall,11,SHOP,U,B,U
311,Glenber,1,INVEST,B,B,B
312,TAPCONBIT,14,INVEST,B,B,B
313,雲策投資,37,INVEST,B,U,U
314,新加坡聖淘沙,3,INVEST,A,A,A
315,銀河財經資訊,2,INVEST,B,U,U
316,常鋐,38,INVEST,U,U,U
317,Yuego,2,INVEST,B,B,B
318,三芳,6,INVEST,U,U,U
319,富達金融,5,INVEST,A,U,U
320,BN Wredo,17,INVEST,B,B,B
321,Bitopay,2,INVEST,B,B,B
322,Ginkgo,10,INVEST,B,B,B
323,Commbase,5,INVEST,B,B,B
324,SGB多元創業,10,INVEST,B,B,B
325,YSEX,9,INVEST,B,B,B
326,FOBOX,1,INVEST,B,B,B
327,天利,50,INVEST,B,U,U
328,投資股票線上視聽,8,INVEST,B,B,B
329,N Plus Capital,2,INVEST,B,B,B
330,DCA,1,INVEST,B,B,B
331,健益公益基金會,5,INVEST,B,U,U
332,CPT International,10,INVEST,B,U,U
333,一京投資,16,INVEST,B,U,U
334,Jnmoste EX,2,INVEST,B,B,B
335,融貫,39,INVEST,B,U,U
336,VELORA,1,INVEST,B,B,B
337,國泰綜合醫院,6,INVEST,A,A,A
338,SaPay,7,INVEST,B,B,B
339,鼎浩,1,INVEST,U,U,U
340,永康醫材科技股份有限公司,2,INVEST,U,U,U
341,DIVINE,3,INVEST,B,B,B
342,HBEX,6,INVEST,B,B,B
343,LQSJX,6,INVEST,B,B,B
344,呈達,51,INVEST,U,U,U
345,興證國際,7,INVEST,A,A,A
346,CRYPTOMATRIX,2,INVEST,B,B,B
347,SULOMALL,3,SHOP,B,B,B
348,RUOWN,4,INVEST,B,B,B
349,Coinbase,25,INVEST,A,A,A
350,晶圓封測系統,4,INVEST,B,B,B
351,KARCO,2,INVEST,B,B,B
352,BTEXCOIN,1,INVEST,B,B,B
353,Wealthera,2,INVEST,B,B,B
354,Morningstar,3,INVEST,A,A,A
355,群力,47,INVEST,B,U,U
356,Tiki跨境電商,15,SHOP,A,A,A
357,紅榮,4,INVEST,B,U,U
358,Ant Design Pro,9,INVEST,B,A,U
359,瘋購物,4,SHOP,B,B,B
360,嘉信證券,39,INVEST,A,A,A
361,鑽石一號,16,INVEST,B,B,B
362,BURSA MALAYSIA,1,INVEST,A,A,A
363,Santander,2,INVEST,A,A,A
364,Apxac,3,INVEST,B,B,B
365,TXDQG,1,INVEST,B,B,B
366,Hope Gold,1,INVEST,B,B,B
367,百揚投資,15,INVEST,B,U,U
368,Risuny-My base,2,INVEST,B,B,B
369,迅購網,8,INVEST,B,B,B
370,遠通Max,5,INVEST,U,U,U
371,輝利,36,INVEST,B,U,U
372,雙魚女性公益基金會,1,INVEST,B,U,U
373,唐吉訶德,175,INVEST,A,A,A
374,EU ETS,1,INVEST,U,A,U
375,Forex vista,7,INVEST,B,B,B
376,勝通國際,2,INVEST,B,U,U
377,至簡控股,1,INVEST,B,U,U
378,MECX,25,INVEST,B,B,B
379,TGR,3,INVEST,B,B,B
380,DEFIAI,3,INVEST,B,B,B
381,WFD Coin,14,INVEST,B,B,B
382,保德信（PGIM）,3,INVEST,A,A,A
383,MarkMall馬克商城,1,SHOP,B,B,B
384,Kwai Mall,3,SHOP,U,A,U
385,向日葵電力,2,INVEST,B,U,U
386,核芯檢測系統,3,INVEST,B,B,B
387,Forxl markets,2,SHOP,B,B,B
388,KDHUZ,3,INVEST,B,B,B
389,Technology Element Chip,14,INVEST,B,B,B
390,Global,8,INVEST,B,B,B
391,Npbit,1,INVEST,B,B,B
392,BAS,2,INVEST,B,B,B
393,元永雄,9,INVEST,U,B,U
394,COSS,3,INVEST,B,A,U
395,Gsshoponlines購物,2,SHOP,B,B,B
396,Yahoo購物,312,SHOP,A,A,A
397,Videshi Vyaapaar,3,INVEST,B,B,B
398,IBM,4,INVEST,A,A,A
399,TRADONDIT,6,INVEST,B,B,B
400,國泰君安,1,INVEST,A,A,A
