編號,網域,創建日期,D3,D4,D5,entity,method,conf
40,druis.top,2022-11-26T02:58:13,A,SHOP,ECOM,樂信,rule-desc,H
41,miurn.top,2022-10-27T01:34:11,A,SHOP,ECOM,樂信,rule-desc,H
42,tw.ashersanc.online,2023-06-20T15:13:38,A,SHOP,ECOM,樂信,rule-desc,H
43,qeermn.com,2022-09-22T02:10:24,A,SHOP,ECOM,樂信,rule-desc,H
44,qeyuwa.shop,2023-06-06T02:57:21,A,SHOP,ECOM,樂信,rule-desc,H
45,aobeibi.shop,2023-06-06T02:57:21,A,SHOP,ECOM,樂信,rule-desc,H
46,kureshangcheng.shop,2023-10-22T10:51:05,A,SHOP,ECOM,樂信,rule-desc,H
47,lekebaihuo.shop,2023-08-29T14:45:11,A,SHOP,ECOM,樂信,rule-desc,H
48,karus.top,2023-08-31T08:03:30,A,SHOP,ECOM,樂信,rule-desc,H
49,mmntsu.shop,2023-07-19T01:09:58,A,SHOP,ECOM,MOMO,rule-desc,H
50,neioa.top,2023-03-24T01:04:45,A,SHOP,ECOM,樂信,rule-desc,H
51,colaresearchclub.vip,2023-11-08T02:25:57,A,SHOP,ECOM,樂信,rule-desc,H
52,tw.kathleens.asia,2023-08-12T02:08:05,A,SHOP,ECOM,樂信,rule-desc,H
53,fsibe.top,2023-02-03T01:43:34,A,SHOP,ECOM,樂信,rule-desc,H
54,beuis.top,2023-01-29T06:45:48,A,SHOP,ECOM,樂信,rule-desc,H
55,reois.top,2022-09-23T01:20:56,A,SHOP,ECOM,樂信,rule-desc,H
56,oeips.top,2022-11-26T02:58:14,A,SHOP,ECOM,樂信,rule-desc,H
57,yusq.shop,2023-05-16T11:01:59,A,SHOP,ECOM,OB嚴選,rule-desc,H
58,rakutenxk.com,2023-09-26T02:24:04,A,SHOP,ECOM,樂天,rule-desc,H
59,aecisu.com,2023-01-29T06:45:51,A,SHOP,ECOM,樂信,rule-desc,H
60,sauiet.com,2023-03-24T01:04:48,A,SHOP,ECOM,樂信,rule-desc,H
61,jpedcf.shop,2023-09-27T01:47:14,A,SHOP,ECOM,樂信,rule-desc,H
62,shopline-sg.net,2023-06-20T15:13:38,A,SHOP,ECOM,商線科技購物網,rule-desc,H
63,khves.top,2023-05-24T01:44:26,A,SHOP,ECOM,樂信,rule-desc,H
64,elizfsds.club,2023-08-16T02:40:53,A,SHOP,ECOM,樂信,rule-desc,H
65,uisco.top,2023-03-02T06:35:30,A,SHOP,ECOM,樂信,rule-desc,H
66,shopkayz.shop,2023-08-15T08:51:43,A,SHOP,ECOM,樂信,rule-desc,H
67,jesuo.top,2023-04-10T06:22:58,A,SHOP,ECOM,樂信,rule-desc,H
68,tabsm.top,2023-08-28T07:46:52,A,SHOP,ECOM,樂信,rule-desc,H
69,laobeibi.shop,2023-08-28T07:46:52,A,SHOP,ECOM,樂信,rule-desc,H
70,easor.top,2022-07-27T01:10:22,A,SHOP,ECOM,樂信,rule-desc,H
71,yfdnrw.shop,2022-07-27T01:10:22,A,SHOP,ECOM,麥當勞即享券,rule-desc,H
72,dcolaresearch.com,2023-11-17T09:06:02,A,SHOP,ECOM,樂信,rule-desc,H
73,ni.okjhsa.xyz,2023-07-11T07:31:23,A,SHOP,ECOM,金石堂,rule-desc,H
74,liwank106.top,2023-04-08T06:24:24,A,SHOP,ECOM,momo,rule-desc,H
75,storedso.shop,2023-04-08T06:24:24,A,SHOP,ECOM,樂信,rule-desc,H
76,nisko.top,2023-07-05T08:37:56,A,SHOP,ECOM,樂信,rule-desc,H
77,gaisc.top,2023-10-05T03:40:04,A,SHOP,ECOM,樂信,rule-desc,H
78,colaresearchclub.top,2023-11-08T02:25:59,A,SHOP,ECOM,樂信,rule-desc,H
79,jnhr.club,2023-05-17T07:45:05,A,SHOP,ECOM,樂信,rule-desc,H
80,fautzs.com,2023-10-05T03:40:07,A,SHOP,ECOM,樂信,rule-desc,H
81,toriue.com,2023-03-20T12:23:36,A,SHOP,ECOM,樂信,rule-desc,H
82,rakutens-online.com,2023-10-13T13:16:00,A,SHOP,ECOM,樂天,rule-desc,H
83,picgn.vip,2023-11-29T11:55:14,A,SHOP,ECOM,麥當勞99元即享券,rule-desc,H
84,aroone.online,2023-10-16T03:10:48,A,SHOP,ECOM,新光三越百貨股份販售LV精品包,rule-desc,H
85,rakutenht.com,2023-09-26T02:24:04,A,SHOP,ECOM,樂天,rule-desc,H
86,cvezs.top,2023-11-24T03:35:35,A,SHOP,ECOM,樂信,rule-desc,H
87,betos.top,2022-11-08T01:06:43,A,SHOP,ECOM,樂信,rule-desc,H
88,cvstu.top,2023-10-05T03:40:02,A,SHOP,ECOM,樂信,rule-desc,H
89,pl.kylerjens.online,2023-09-28T02:03:51,A,SHOP,ECOM,樂信,rule-desc,H
90,hmtoad.com,2022-08-20T06:14:01,A,SHOP,ECOM,樂信,rule-desc,H
91,kheis.top,2023-04-15T01:28:41,A,SHOP,ECOM,樂信,rule-desc,H
92,enboaoo.com,2021-04-29T10:01:44,A,SHOP,ECOM,樂信,rule-desc,H
93,colaresearchclub.cc,2023-11-17T09:01:09,A,SHOP,ECOM,樂信,rule-desc,H
94,scaiu.top,2023-04-26T03:29:18,A,SHOP,ECOM,樂信,rule-desc,H
95,colaresearchclub.pub,2023-11-17T09:00:57,A,SHOP,ECOM,樂信,rule-desc,H
96,adsdf.shop,2023-08-24T03:06:05,A,SHOP,ECOM,樂信,rule-desc,H
97,gsfie.shop,2023-07-02T07:42:44,A,SHOP,ECOM,樂信,rule-desc,H
98,ouyh.shop,2023-09-13T03:45:32,A,SHOP,ECOM,樂信,rule-desc,H
99,petdb.store,2023-10-12T08:08:54,A,SHOP,ECOM,樂信,rule-desc,H
100,weistr.com,2023-05-24T01:44:30,A,SHOP,ECOM,樂信,rule-desc,H
101,storejklm.shop,2023-04-08T06:12:55,A,SHOP,ECOM,樂信,rule-desc,H
102,czhgrsf.shop,2023-08-24T03:23:13,A,SHOP,ECOM,樂信,rule-desc,H
103,vnocs.top,2022-08-20T06:13:53,A,SHOP,ECOM,樂信,rule-desc,H
104,dsare.top,2023-12-08T07:53:18,A,SHOP,ECOM,樂信,rule-desc,H
105,tf-tw.com,2022-09-24T10:28:29,A,SHOP,ECOM,新光三越線上官方購物平台,rule-desc,H
106,colaresearchclub.tech,2023-11-17T09:01:06,A,SHOP,ECOM,樂信,rule-desc,H
107,sneiu.top,2023-11-24T03:35:34,A,SHOP,ECOM,樂信,rule-desc,H
108,svmia.top,2022-08-20T06:13:52,A,SHOP,ECOM,樂信,rule-desc,H
109,cinzia.xyz,2023-10-16T03:03:47,A,SHOP,ECOM,新光三越線上官方購物平台,rule-desc,H
110,uwgc.store,2023-10-04T07:54:01,A,SHOP,ECOM,樂信,rule-desc,H
111,diupes.com,2022-07-13T01:10:09,A,SHOP,ECOM,樂信,rule-desc,H
112,esick.top,2023-01-29T06:45:45,A,SHOP,ECOM,樂信,rule-desc,H
113,tw.gyulong.shop,2023-10-16T06:35:12,A,SHOP,ECOM,樂信,rule-desc,H
114,tw.stanatlas.online,2023-10-16T06:35:12,A,SHOP,ECOM,樂信,rule-desc,H
115,wimvts.com,2023-08-31T08:03:33,A,SHOP,ECOM,樂信,rule-desc,H
116,colaresearchclub.red,2023-11-17T09:01:02,A,SHOP,ECOM,樂信,rule-desc,H
117,rakutenxii.com,2023-09-26T02:24:04,A,SHOP,ECOM,樂天,rule-desc,H
118,tfiuso.com,2023-08-31T08:03:35,A,SHOP,ECOM,樂信,rule-desc,H
119,fautn.top,2022-07-13T01:10:05,A,SHOP,ECOM,樂信,rule-desc,H
120,dcfrgg.com,2023-12-13T01:51:40,A,SHOP,ECOM,樂信,rule-desc,H
121,fiuca.top,2023-02-24T07:04:45,A,SHOP,ECOM,樂信,rule-desc,H
122,fudim.top,2023-01-29T06:45:44,A,SHOP,ECOM,樂信,rule-desc,H
123,aiusne.com,2023-01-10T06:14:52,A,SHOP,ECOM,樂信,rule-desc,H
124,yaius.top,2023-04-10T06:22:57,A,SHOP,ECOM,樂信,rule-desc,H
125,ccxybr.com,2022-11-23T01:30:54,A,SHOP,ECOM,樂信,rule-desc,H
126,actob.top,2023-12-26T03:41:58,A,SHOP,ECOM,樂信,rule-desc,H
127,eaois.top,2023-02-24T07:04:46,A,SHOP,ECOM,樂信,rule-desc,H
128,tw.davidaly.online,2023-12-07T12:25:14,A,SHOP,ECOM,樂信,rule-desc,H
129,dcfrgg.top,2023-12-13T01:51:38,A,SHOP,ECOM,樂信,rule-desc,H
130,fisaen.com,2022-12-20T01:43:08,A,SHOP,ECOM,樂信,rule-desc,H
131,dcfrgg.xyz,2023-12-13T01:51:18,A,SHOP,ECOM,樂信,rule-desc,H
132,kghgt.top,2023-11-29T02:21:41,A,SHOP,ECOM,樂信,rule-desc,H
133,nivsz.top,2023-07-25T07:03:10,A,SHOP,ECOM,樂信,rule-desc,H
134,tw.lishuanga.online,2023-09-19T05:46:54,A,SHOP,ECOM,樂信,rule-desc,H
135,tw.miloeipst.online,2023-12-20T03:05:42,A,SHOP,ECOM,樂信,rule-desc,H
136,colaresearchclub.xyz,2023-11-17T09:00:59,A,SHOP,ECOM,樂信,rule-desc,H
137,hauots.com,2022-09-20T07:40:08,A,SHOP,ECOM,樂信,rule-desc,H
138,tosru.top,2022-07-27T01:10:24,A,SHOP,ECOM,樂信,rule-desc,H
139,gimtsu.com,2023-08-28T07:46:57,A,SHOP,ECOM,樂信,rule-desc,H
140,tw.ivymoore.online,2023-12-14T03:11:35,A,SHOP,ECOM,樂信,rule-desc,H
141,colaresearchclub.ink,2023-11-17T09:01:03,A,SHOP,ECOM,樂信,rule-desc,H
142,cedsk.top,2023-12-26T03:41:56,A,SHOP,ECOM,樂信,rule-desc,H
143,dcfrgg.ink,2023-12-13T01:51:15,A,SHOP,ECOM,樂信,rule-desc,H
144,bascz.top,2023-12-26T03:41:57,A,SHOP,ECOM,樂信,rule-desc,H
145,amxis.top,2024-01-09T03:42:37,A,SHOP,ECOM,樂信,rule-desc,H
146,ebnis.top,2024-01-05T01:59:36,A,SHOP,ECOM,樂信,rule-desc,H
147,sombe.top,2022-07-13T01:10:03,A,SHOP,ECOM,樂信,rule-desc,H
148,ecnea.top,2023-12-26T03:41:53,A,SHOP,ECOM,樂信,rule-desc,H
149,tisoue.com,2023-04-26T03:29:25,A,SHOP,ECOM,樂信,rule-desc,H
150,dcolaresearch.top,2023-11-17T09:01:11,A,SHOP,ECOM,樂信,rule-desc,H
151,kuzis.top,2023-07-25T07:03:11,A,SHOP,ECOM,樂信,rule-desc,H
152,dcvhrth.store,2023-12-18T03:36:09,A,SHOP,ECOM,樂信,rule-desc,H
153,peiom.top,2023-02-15T03:14:33,A,SHOP,ECOM,樂信,rule-desc,H
154,joseq.top,2023-12-20T07:53:50,A,SHOP,ECOM,樂信,rule-desc,H
155,atiau.top,2024-01-05T01:59:40,A,SHOP,ECOM,樂信,rule-desc,H
156,fdsbbb.store,2023-04-13T07:20:55,A,SHOP,ECOM,樂信,rule-desc,H
157,tw.gbertsan.online,2023-12-11T07:00:52,A,SHOP,ECOM,樂信,rule-desc,H
158,0zkoahs.shop,2023-12-07T03:47:55,A,SHOP,ECOM,董事長照片販售商品,rule-desc,H
159,dvfdgdfg.com,2023-09-25T01:29:23,A,SHOP,ECOM,樂信,rule-desc,H
160,cinae.top,2023-02-21T06:40:18,A,SHOP,ECOM,樂信,rule-desc,H
161,zcoed.top,2024-01-23T08:23:49,A,SHOP,ECOM,樂信,rule-desc,H
162,gtoas.top,2023-12-20T07:53:53,A,SHOP,ECOM,樂信,rule-desc,H
163,tw.elopebrew.shop,2024-01-23T08:23:49,A,SHOP,ECOM,樂信,rule-desc,H
164,tw.renataorva.shop,2023-12-07T03:47:55,A,SHOP,ECOM,樂信,rule-desc,H
165,xuiosn.com,2023-10-17T01:46:02,A,SHOP,ECOM,樂信,rule-desc,H
166,tw.cocinmark.shop,2023-02-21T06:40:18,A,SHOP,ECOM,樂信,rule-desc,H
167,awsnte.com,2022-06-06T16:07:25,A,SHOP,ECOM,樂信,rule-desc,H
168,asiuor.com,2023-02-21T06:40:23,A,SHOP,ECOM,樂信,rule-desc,H
169,01.wen.ooguy.com,2016-02-21T00:26:51,A,SHOP,ECOM,MOMO,rule-desc,H
170,dscor.top,2024-01-05T01:59:37,A,SHOP,ECOM,樂信,rule-desc,H
171,ftisu.top,2023-12-20T07:53:54,A,SHOP,ECOM,樂信,rule-desc,H
172,web.books-compy.com,2024-02-18T10:48:05,A,SHOP,ECOM,博客來,rule-desc,H
173,hxwma.live,2023-12-20T06:21:31,A,SHOP,ECOM,東森,rule-desc,H
174,auking.online,2024-03-02T11:12:53,A,SHOP,ECOM,東森,rule-desc,H
175,ekhg.online,2023-12-24T13:17:06,A,SHOP,ECOM,東森,rule-desc,H
176,ixstr.top,2023-12-20T07:53:51,A,SHOP,ECOM,樂信,rule-desc,H
177,dpinx.com,2023-11-09T09:38:14,A,SHOP,ECOM,樂信,rule-desc,H
178,hwjsek.top,2024-01-11T03:32:28,A,SHOP,ECOM,東森,rule-desc,H
179,dvrtggg.ink,2024-01-24T08:45:00,A,SHOP,ECOM,樂信,rule-desc,H
180,hiopa.top,2023-12-20T07:53:52,A,SHOP,ECOM,樂信,rule-desc,H
181,nabeu.top,2023-10-18T02:25:38,A,SHOP,ECOM,樂信,rule-desc,H
182,vsoic.top,2024-01-23T08:23:54,A,SHOP,ECOM,樂信,rule-desc,H
183,www.books-compy.com,2024-02-18T10:48:05,A,SHOP,ECOM,博客來,rule-desc,H
184,tw.edanajane.shop,2023-12-20T07:53:52,A,SHOP,ECOM,樂信,rule-desc,H
185,m.momoshopn.com,2023-11-09T09:38:14,A,SHOP,ECOM,MOMO,rule-desc,H
186,cftrrr.store,2023-08-16T02:45:43,A,SHOP,ECOM,樂信,rule-desc,H
187,xotir.top,2024-01-23T08:23:51,A,SHOP,ECOM,樂信,rule-desc,H
188,tw.kinglyhall.shop,2024-02-18T10:48:05,A,SHOP,ECOM,樂信,rule-desc,H
189,etgfd.store,2023-07-30T03:43:51,A,SHOP,ECOM,樂信,rule-desc,H
190,amnse.com,2024-03-09T06:27:22,A,SHOP,ECOM,MOMO,rule-desc,H
191,ktesr.top,2023-12-27T02:02:24,A,SHOP,ECOM,樂信,rule-desc,H
192,semru.top,2022-10-11T01:36:48,A,SHOP,ECOM,樂信,rule-desc,H
193,nstae.top,2023-08-28T07:46:56,A,SHOP,ECOM,樂信,rule-desc,H
194,atiez.top,2024-03-19T07:05:41,A,SHOP,ECOM,樂信,rule-desc,H
195,www.npwalterja.shop,2024-01-11T03:32:28,A,SHOP,ECOM,樂信,rule-desc,H
196,www.rynthreer.shop,2024-02-18T10:48:05,A,SHOP,ECOM,樂信,rule-desc,H
197,www.deeparoy.shop,2024-01-11T03:32:28,A,SHOP,ECOM,樂信,rule-desc,H
198,www.yawhehe.shop,2023-02-21T06:40:23,A,SHOP,ECOM,樂信,rule-desc,H
199,www.afrileadw.shop,2023-12-07T03:47:55,A,SHOP,ECOM,樂信,rule-desc,H
200,www.spaesveeni.shop,2024-01-09T03:42:37,A,SHOP,ECOM,樂信,rule-desc,H
201,www.alexansher.shop,2022-07-13T01:10:05,A,SHOP,ECOM,樂信,rule-desc,H
202,dvrtaaa.ink,2024-01-24T08:44:58,A,SHOP,ECOM,樂信,rule-desc,H
203,ru.bhuies.store,2023-02-21T06:40:23,A,SHOP,ECOM,樂信,rule-desc,H
204,srdat.top,2023-08-31T08:03:29,A,SHOP,ECOM,樂信,rule-desc,H
205,seyor.top,2024-02-22T09:19:18,A,SHOP,ECOM,樂信,rule-desc,H
206,boutique-shop4.com,2023-06-20T15:13:38,A,SHOP,ECOM,PChome安心,rule-desc,H
207,gjngy.club,2023-05-17T07:45:12,A,SHOP,ECOM,樂信,rule-desc,H
208,momoow.com,2024-01-17T07:19:25,A,SHOP,ECOM,富邦媒體momo,rule-desc,H
209,web.mallonlinebooks.com,2024-01-26T14:46:31,A,SHOP,ECOM,博客來,rule-desc,H
210,dvrtccc.ink,2024-01-24T08:44:59,A,SHOP,ECOM,樂信,rule-desc,H
211,alcellman.shop,2024-03-11T08:03:22,A,SHOP,ECOM,樂信,rule-desc,H
212,skitrse.com,2023-07-25T07:03:15,A,SHOP,ECOM,樂信,rule-desc,H
213,tceuk.top,2022-10-11T01:36:47,A,SHOP,ECOM,樂信,rule-desc,H
214,fniod.top,2024-02-18T01:04:08,A,SHOP,ECOM,樂信,rule-desc,H
215,fcnez.top,2024-01-06T06:38:02,A,SHOP,ECOM,樂信,rule-desc,H
216,gvisn.top,2024-01-06T06:38:01,A,SHOP,ECOM,樂信,rule-desc,H
217,ortus.top,2024-03-26T01:54:56,A,SHOP,ECOM,樂信,rule-desc,H
218,tw.herexpress.shop,2024-03-11T08:03:22,A,SHOP,ECOM,樂信,rule-desc,H
219,nziud.top,2023-12-27T02:02:22,A,SHOP,ECOM,樂信,rule-desc,H
220,tw.myrastone.shop,2024-01-09T03:42:37,A,SHOP,ECOM,樂信,rule-desc,H
221,pocxs.top,2023-12-27T02:02:19,A,SHOP,ECOM,樂信,rule-desc,H
222,hioxe.top,2024-01-06T06:37:59,A,SHOP,ECOM,樂信,rule-desc,H
223,www.bookstore-tw.com,2024-03-27T14:15:21,A,SHOP,ECOM,博客來,rule-desc,H
224,jteis.top,2024-01-06T06:37:57,A,SHOP,ECOM,樂信,rule-desc,H
225,izuer.top,2024-01-06T06:37:58,A,SHOP,ECOM,樂信,rule-desc,H
226,www.shoppingbooksstorec.com,2024-04-23T14:56:26,A,SHOP,ECOM,博客來,rule-desc,H
227,namgaju.com,2023-10-01T14:23:46,A,SHOP,ECOM,東森購物,rule-desc,H
228,hanwu.site,2023-09-21T08:25:43,A,SHOP,ECOM,Gogolook,rule-desc,H
229,ksaxr.fun,2024-02-03T07:50:07,A,SHOP,ECOM,Gogolook,rule-desc,H
230,gaschai.com,2023-04-15T18:00:14,A,SHOP,ECOM,富邦媒體,rule-desc,H
231,www.rakutenpshop.com,2024-04-11T13:59:54,A,SHOP,ECOM,台灣樂天,rule-desc,H
232,amioke.com,2022-08-20T06:14:05,A,SHOP,ECOM,樂信,rule-desc,H
233,pietd.top,2024-03-26T01:54:55,A,SHOP,ECOM,樂信,rule-desc,H
234,cniusrt.com,2023-08-28T07:46:59,A,SHOP,ECOM,樂信,rule-desc,H
235,dvrtddd.ink,2024-01-24T08:44:56,A,SHOP,ECOM,樂信,rule-desc,H
236,dvrtbbb.ink,2024-01-24T08:44:55,A,SHOP,ECOM,樂信,rule-desc,H
237,linegames.org,2024-05-02T00:58:02,A,SHOP,TELCO,芬格國際LINEGames遊戲虛寶,rule-desc,H
238,mmm-tw.com,2022-09-24T10:28:23,A,SHOP,ECOM,客林國際,rule-desc,H
239,maisonmargiela.com.tw,2023-03-13T10:28:04,A,SHOP,ECOM,客林國際,rule-desc,H
240,diptyqueofficial.com,2023-07-14T00:56:45,A,SHOP,ECOM,客林國際,rule-desc,H
241,dvrteee.ink,2024-01-24T08:44:47,A,SHOP,ECOM,樂信,rule-desc,H
242,rsnvc.top,2024-03-26T01:54:54,A,SHOP,ECOM,樂信,rule-desc,H
243,www.diptyqueshop.com.tw,2024-04-18T07:25:05,A,SHOP,ECOM,客林國際,rule-desc,H
244,www.zrtw.net,2021-07-17T10:40:56,A,SHOP,ECOM,客林國際,rule-desc,H
245,www.mmm-tw.com,2022-09-24T10:28:23,A,SHOP,ECOM,客林國際,rule-desc,H
246,dvrthhh.ink,2024-01-24T08:44:49,A,SHOP,ECOM,樂信,rule-desc,H
247,eisda.top,2023-10-18T02:25:37,A,SHOP,ECOM,樂信,rule-desc,H
248,www.dfjhdxfjish.site,2024-04-26T02:15:43,A,SHOP,ECOM,樂信,rule-desc,H
249,cosru.top,2024-02-18T01:04:12,A,SHOP,ECOM,樂信,rule-desc,H
250,dvrtfff.ink,2024-01-24T08:44:52,A,SHOP,ECOM,樂信,rule-desc,H
251,qisd.store,2024-03-21T07:52:22,A,SHOP,ECOM,客林國際,rule-desc,H
252,www.maison-margiela.com.tw,2024-06-05T16:03:05,A,SHOP,ECOM,客林國際,rule-desc,H
253,www.byredo.com.tw,2023-12-23T20:25:05,A,SHOP,ECOM,客林國際,rule-desc,H
254,nansha.life,2024-05-07T02:49:58,A,SHOP,ECOM,樂信,rule-desc,H
255,ctueo.top,2024-01-06T06:38:05,A,SHOP,ECOM,樂信,rule-desc,H
256,renguan.life,2024-05-13T07:35:18,A,SHOP,ECOM,樂信,rule-desc,H
257,dvrtjjj.ink,2024-01-24T08:44:50,A,SHOP,ECOM,樂信,rule-desc,H
258,gywt.store,2024-03-15T03:14:12,A,SHOP,ECOM,客林國際,rule-desc,H
259,aoevu.top,2024-06-04T01:54:42,A,SHOP,ECOM,樂信,rule-desc,H
260,www.diptyque-fragrances.com.tw,2024-05-31T17:38:05,A,SHOP,ECOM,客林國際,rule-desc,H
261,qojf.store,2024-03-21T08:10:28,A,SHOP,ECOM,客林國際,rule-desc,H
262,dfwi.store,2024-03-07T09:22:40,A,SHOP,ECOM,客林國際,rule-desc,H
263,uhyue.shop,2024-05-17T08:04:01,A,SHOP,ECOM,博客來,rule-desc,H
264,www.bicycleinn.tw,2018-08-16T15:30:38,A,SHOP,ECOM,Gogolook,rule-desc,H
265,dvrtvvv.ink,2024-01-24T08:44:46,A,SHOP,ECOM,樂信,rule-desc,H
266,rutb.store,2024-03-21T08:10:28,A,SHOP,ECOM,客林國際,rule-desc,H
267,fyuw.store,2024-04-07T02:33:21,A,SHOP,ECOM,客林國際,rule-desc,H
268,dfeq.store,2024-03-21T08:10:29,A,SHOP,ECOM,客林國際,rule-desc,H
269,wdgp.store,2024-03-21T08:10:28,A,SHOP,ECOM,客林國際,rule-desc,H
270,setw.store,2024-03-07T09:22:40,A,SHOP,ECOM,客林國際,rule-desc,H
271,gbol.store,2024-03-21T07:52:24,A,SHOP,ECOM,客林國際,rule-desc,H
272,www.readbooks-store.com,2024-05-31T15:52:38,A,SHOP,ECOM,博客來,rule-desc,H
273,mtsue.top,2023-12-27T02:02:23,A,SHOP,ECOM,樂信,rule-desc,H
274,firno.top,2024-06-04T01:54:34,A,SHOP,ECOM,樂信,rule-desc,H
275,joniro.myfreesites.net,2015-03-23T11:28:11,U,OTHER,,客制化科技,rule-industry,L
276,hska.store,2024-04-16T03:40:08,A,SHOP,ECOM,客林國際,rule-desc,H
277,24newsudn.com,2024-05-07T11:41:43,A,SHOP,ECOM,Gogolook,rule-desc,H
278,tradeneupro.co,2023-12-27T07:27:04,A,SHOP,ECOM,Gogolook,rule-desc,H
279,ggfr.store,2024-03-20T02:38:42,A,SHOP,ECOM,客林國際,rule-desc,H
280,qioim.shop,2024-04-02T02:49:16,A,SHOP,ECOM,客林國際,rule-desc,H
281,www.byredo.tw,2024-06-05T16:02:05,A,SHOP,ECOM,客林國際,rule-desc,H
282,www.mm-replica.com.tw,2024-06-17T14:01:06,A,SHOP,ECOM,客林國際,rule-desc,H
283,qsyt.store,2024-03-20T02:38:44,A,SHOP,ECOM,客林國際,rule-desc,H
284,beauchamp.top,2024-06-19T11:51:45,A,SHOP,ECOM,PChome,rule-desc,H
285,phipps.lol,2024-05-07T13:55:09,A,SHOP,ECOM,PChome,rule-desc,H
286,fontenot.lol,2024-05-07T13:55:21,A,SHOP,ECOM,PChome,rule-desc,H
287,yuuc.store,2024-02-26T02:00:08,A,SHOP,ECOM,客林國際,rule-desc,H
288,earut.top,2024-03-19T07:05:35,A,SHOP,ECOM,樂信,rule-desc,H
289,bsiat.top,2024-02-18T01:04:13,A,SHOP,ECOM,樂信,rule-desc,H
290,www.readbooksshop.com,2024-05-31T15:52:38,A,SHOP,ECOM,博客來,rule-desc,H
291,fwqe.store,2024-04-16T03:40:07,A,SHOP,ECOM,客林國際,rule-desc,H
