agency,type,n,total_award,avg_award,dom_attr,mev_sh,ltd_noeval_sh,capital,direct
國立臺灣大學醫學院附設醫院新竹臺大分院,設備採買型,131,273984499,2091485,財物,0.023,0.008,0,0
臺北市立聯合醫院,設備採買型,125,44067553,352540,財物,0.032,0.0,0,0
衛生福利部桃園醫院,設備採買型,121,115320371,953061,財物,0.0,0.0,0,0
國立高雄科技大學,設備採買型,116,80975420,698064,財物,0.103,0.0,0,0
國立屏東科技大學,設備採買型,109,74058993,679440,財物,0.046,0.0,0,0
中華郵政股份有限公司,設備採買型,107,2771163960,25898729,財物,0.243,0.271,1,1
國防醫學院,設備採買型,107,53167051,496888,財物,0.065,0.0,0,0
國立中山大學,設備採買型,103,128265321,1245294,財物,0.388,0.0,0,0
國立雲林科技大學,設備採買型,91,40123745,440920,財物,0.176,0.0,0,0
國防部軍醫局,設備採買型,91,63016611,692490,財物,0.044,0.011,0,0
衛生福利部臺中醫院,設備採買型,89,69982210,786317,財物,0.034,0.0,0,0
衛生福利部臺南醫院,設備採買型,87,49349514,567236,財物,0.069,0.0,0,0
國立中正大學,設備採買型,82,33624947,410060,財物,0.159,0.0,0,0
國立臺北科技大學,設備採買型,80,34661962,433275,財物,0.075,0.0,0,0
國立虎尾科技大學,設備採買型,80,551120929,6889012,財物,0.075,0.0,0,0
國立臺灣科技大學,設備採買型,78,40967131,525220,財物,0.372,0.0,0,0
中央研究院,設備採買型,78,1045773351,13407351,財物,0.167,0.436,0,1
國立臺灣大學醫學院附設醫院雲林分院,設備採買型,76,316126037,4159553,財物,0.039,0.0,0,0
衛生福利部彰化醫院,設備採買型,76,80708792,1061958,財物,0.026,0.0,0,0
國立中央大學,設備採買型,76,110550779,1454616,財物,0.211,0.013,0,0
台灣中油股份有限公司探採事業部,設備採買型,76,96495360,1269676,財物,0.0,0.026,0,0
行政院農業委員會農業試驗所,設備採買型,74,52576863,710498,財物,0.122,0.0,0,0
衛生福利部苗栗醫院,設備採買型,73,60870774,833846,財物,0.0,0.0,0,0
法務部調查局,設備採買型,73,64189691,879311,財物,0.411,0.027,0,0
衛生福利部疾病管制署,設備採買型,69,609128434,8827948,財物,0.217,0.072,0,0
國立臺灣藝術大學,設備採買型,68,34009185,500135,財物,0.618,0.0,0,0
衛生福利部臺北醫院,設備採買型,68,61545066,905074,財物,0.412,0.0,0,0
國立政治大學,設備採買型,66,29428802,445891,財物,0.03,0.0,0,0
衛生福利部屏東醫院,設備採買型,64,43806329,684474,財物,0.031,0.0,0,0
行政院農業委員會家畜衛生試驗所,設備採買型,64,29743893,464748,財物,0.062,0.0,0,0
高雄市立民生醫院,設備採買型,63,28894110,458637,財物,0.143,0.0,0,0
國立臺灣海洋大學,設備採買型,63,26994921,428491,財物,0.19,0.0,0,0
樹人醫護管理專科學校,設備採買型,59,18955960,321287,財物,0.0,0.0,0,0
國立體育大學,設備採買型,59,35495130,601612,財物,0.288,0.0,0,0
台灣電力股份有限公司興達發電廠,設備採買型,57,2087517627,36623116,財物,0.0,0.0,1,0
交通部臺灣鐵路管理局臺北機廠,設備採買型,56,23775013,424554,財物,0.0,0.0,0,0
國立嘉義大學,設備採買型,56,23115101,412770,財物,0.125,0.0,0,0
勞動部勞動力發展署中彰投分署,設備採買型,56,42676847,762087,財物,0.304,0.0,0,0
國立聯合大學,設備採買型,54,23645349,437877,財物,0.167,0.0,0,0
衛生福利部豐原醫院,設備採買型,53,51321701,968334,財物,0.038,0.0,0,0
行政院農業委員會水產試驗所,設備採買型,53,27950424,527366,財物,0.038,0.0,0,0
臺北市立大學,設備採買型,52,22720101,436925,財物,0.346,0.0,0,0
衛生福利部南投醫院,設備採買型,51,29921099,586688,財物,0.098,0.0,0,0
台灣自來水股份有限公司,設備採買型,51,10856538039,212873295,財物,0.078,0.0,1,0
嘉藥學校財團法人嘉南藥理大學,設備採買型,50,17110662,342213,財物,0.0,0.0,0,0
衛生福利部旗山醫院,設備採買型,49,35149797,717343,財物,0.02,0.0,0,0
國立陽明交通大學附設醫院,設備採買型,48,19103499,397990,財物,0.021,0.0,0,0
國立臺北教育大學,設備採買型,48,20092856,418601,財物,0.292,0.0,0,0
國立臺灣大學醫學院附設醫院癌醫中心分院,設備採買型,48,29863490,622156,財物,0.0,0.0,0,0
國立屏東大學,設備採買型,48,19990288,416464,財物,0.208,0.0,0,0
台灣電力股份有限公司第三核能發電廠,設備採買型,47,390057301,8299092,財物,0.0,0.021,0,0
台灣電力股份有限公司綜合研究所,設備採買型,46,216781506,4712641,財物,0.217,0.0,0,0
新北市立圖書館,設備採買型,46,22745636,494470,財物,0.326,0.0,0,0
國立東華大學,設備採買型,45,181596441,4035476,財物,0.111,0.022,0,0
衛生福利部基隆醫院,設備採買型,45,65862449,1463610,財物,0.111,0.0,0,0
新北市板橋區公所,設備採買型,45,8439777,187551,財物,0.244,0.0,0,0
法務部矯正署雲林第二監獄,設備採買型,44,15889496,361125,財物,0.068,0.0,0,0
馬偕學校財團法人馬偕醫護管理專科學校,設備採買型,44,12810388,291145,財物,0.0,0.0,0,0
臺中捷運股份有限公司,設備採買型,43,19445760,452227,財物,0.14,0.0,0,0
國立臺灣圖書館,設備採買型,42,15342156,365289,財物,0.19,0.0,0,0
國立彰化師範大學,設備採買型,42,20519206,488553,財物,0.429,0.0,0,0
勞動部勞動力發展署桃竹苗分署,設備採買型,41,36733805,895946,財物,0.415,0.0,0,0
國立臺東大學,設備採買型,41,17263981,421073,財物,0.146,0.0,0,0
雲林縣斗六市公所,設備採買型,40,20915711,522893,財物,0.85,0.0,0,0
臺北榮民總醫院玉里分院,設備採買型,40,43061124,1076528,財物,0.025,0.0,0,0
交通部臺灣鐵路管理局高雄機廠,設備採買型,39,12266135,314516,財物,0.0,0.0,0,0
新北市立淡水高級商工職業學校,設備採買型,38,13053214,343506,財物,0.632,0.0,0,0
國立宜蘭大學,設備採買型,38,15840319,416850,財物,0.105,0.0,0,0
